id,gameDuration,gameStartTimestamp,gameEndTimestamp,win,turretsLost,bountyLevel,damageDealtToTurrets,damageDealtToObjectives,damageDealtToBuildings,totalMinionsKilled,damagePerMinute,goldPerMinute,visionScorePerMinute,visionScoreAdvantageLaneOpponent,kda,maxCsAdvantageOnLaneOpponent,bountyGold,champion,laneOpponent,team,nlId
BR1_2479360102,942,1647024087174,1647025029174,True,0,2,10372,18693,10372,101,5135.435737452352,540.6487207986913,0.2908577814903852,2.6700870990753174,3.0,98.0,0,Jax,Caitlyn,blue,1
BR1_2479368408,1413,1647031280465,1647032693465,True,0,1,15783,24783,15783,139,6334.7896703164315,651.0977203602996,0.4240566245867266,0.7967240810394287,5.6,69.0,0,Jax,Sett,red,6
BR1_2479381005,859,1647025630447,1647026489447,True,0,7,5130,14835,5130,112,4653.1081477518655,582.336596579844,0.4893736437802312,1.0037893056869507,8.0,48.0,0,Jax,Kayle,red,6
BR1_2479394996,1585,1647029182937,1647030767937,True,2,6,10022,13380,10022,170,7701.053427256477,649.0083206252441,0.6411661106745824,1.4460387229919434,5.0,99.00000008940697,550,Tryndamere,Jayce,blue,1
BR1_2479402377,1384,1647026985744,1647028369744,True,0,2,12106,20184,12106,161,5557.600601758064,641.0413236346493,0.24245589251065805,0.26792430877685547,21.0,92.49999994039536,0,Jax,Gnar,blue,1
BR1_2479460289,1894,1647033368581,1647035262581,True,3,1,15370,33911,15370,162,5764.712540443312,529.9734686615043,0.8528017972500693,2.5876169204711914,4.0,50.0,675,Jax,Darius,blue,1
BR1_2479474465,1373,1647037089293,1647038462293,True,0,2,8475,8475,8475,153,4587.986198732898,535.3524613042174,0.3448802049269941,0.36505910754203796,2.5,64.0,0,Jax,Teemo,blue,1
BR1_2479478298,654,1647039659505,1647040313505,True,0,6,6669,6669,6669,88,4142.421358645952,617.168256432393,0.2748708448653635,35.972591400146484,6.0,53.0,0,Jax,Malphite,blue,1
BR1_2479499551,1141,1647045711043,1647046852043,True,0,7,7420,18440,7420,109,4295.856391415832,580.7471297264108,0.45670711177262396,2.5341320037841797,6.0,38.0,0,Jax,Irelia,red,6
BR1_2479515107,1341,1647043421443,1647044762443,True,2,13,14667,20154,14667,149,5639.342851801917,623.6884747096258,0.44901043473465463,,15.0,,0,Jax,Tryndamere,blue,1
BR1_2479530216,1622,1647040968851,1647042590851,True,3,2,10528,18174,10528,166,5436.060967633602,576.1500154942224,0.506363648186068,0.9215028285980225,2.857142857142857,14.249999910593033,300,Jax,Sett,red,9
BR1_2479572447,1543,1647047600257,1647049143257,True,1,0,83,3286,83,9,4319.11899890646,348.79112698711504,0.443407572150156,0.47808241844177246,2.0,8.000000029802322,0,Evelynn,Yasuo,red,7
BR1_2479589984,1692,1647051976919,1647053668919,True,4,14,10769,22325,10769,186,6794.927804957412,688.6583158749154,0.6167698210687629,1.1013648509979248,5.8,80.0,1200,Jax,Garen,blue,1
BR1_2479696068,1569,1647055375633,1647056944633,True,3,7,9321,13983,9321,163,5234.512828770117,565.3630637736275,0.6952441241687658,0.9488727450370789,5.0,36.99999997019768,1100,Jax,Sett,red,6
BR1_2479738495,1073,1647057630907,1647058703907,True,0,1,12670,12670,12670,139,5162.605134169783,664.3953782601768,0.36440513620136505,1.093308448791504,6.0,75.0,0,Jax,Fiora,red,6
BR1_2479759982,1021,1647059224198,1647060245198,True,0,8,4802,19165,4802,28,6246.511903364091,558.9143956282869,1.0325455827247914,3.676689624786377,8.5,31.000000059604645,0,Jax,Irelia,blue,5
BR1_2479794303,1159,1647063037753,1647064196753,True,1,0,4569,4569,4569,133,4763.9157110124725,525.1631361577162,0.21578614715262776,0.659634530544281,2.0,58.0,150,Jax,Yasuo,red,6
BR1_2479806371,1287,1647067097016,1647068384016,False,8,0,6482,9640,6482,126,4279.351118730089,400.29373533255296,0.38760255961923856,0.742469310760498,1.0,29.0,300,Tryndamere,TahmKench,blue,1
BR1_2479812091,1657,1647060780142,1647062437142,True,4,10,13002,13002,13002,207,6571.704083726167,621.95619845608,0.5782607671594373,,10.0,,750,Jax,Tryndamere,blue,1
BR1_2479816874,1720,1647068910092,1647070630092,False,11,0,4643,4643,4643,182,4666.675201043693,391.34539308444454,0.5444416039561885,1.4886126518249512,1.2857142857142858,19.0,675,Zeri,Yone,blue,1
BR1_2479819180,1507,1647078471878,1647079978878,True,5,5,15911,15911,15911,170,6338.284149635283,735.602993328896,0.5185721597009966,1.1422808170318604,6.25,9.0,150,Jax,MonkeyKing,blue,1
BR1_2479819901,959,1647081816854,1647082775854,True,0,2,11965,11965,11965,117,4318.787315448863,573.8912663584812,0.2380558497527244,0.5510864853858948,4.0,83.0,0,Jax,Mordekaiser,blue,1
BR1_2479827552,1442,1647072397224,1647073839224,True,1,5,7531,7840,7531,156,6843.056065595278,616.3983148296259,0.5035808242417854,,4.8,,0,Yone,Darius,blue,1
BR1_2479828008,611,1647074365805,1647074976805,True,0,4,3618,3618,3618,60,2740.236523967028,566.6992997556367,0.2834980446782943,0.23089736700057983,8.0,34.0,0,Jax,Teemo,blue,1
BR1_2479828232,1692,1647075688990,1647077380990,True,4,6,23217,33384,23217,186,7894.850370161027,764.4239506425142,0.7859602206675814,,7.0,,1550,Jax,Kassadin,red,6
BR1_2479829976,1002,1647083412344,1647084414344,True,0,9,3711,3711,3711,120,5223.2651305752515,603.9821559732858,0.3488738851698433,0.38722681999206543,14.0,37.0,0,Jax,Shaco,red,6
BR1_2479834389,1749,1647064858496,1647066607496,False,8,0,5482,23488,5482,146,5576.2296964013985,496.8457841053227,0.46231017304449373,,1.8,,450,Tryndamere,Akali,red,6
BR1_2479865963,1105,1647092484497,1647093589497,False,9,0,5154,5287,5154,115,3490.6568942117838,413.23363587849616,0.32816591808877416,0.7666223049163818,0.8,17.0,0,Jax,Fiora,blue,1
BR1_2479881054,621,1647085083053,1647085704053,True,0,5,2323,2323,2323,66,3549.0833390952316,478.4288799017206,0.2937324628937379,1.656279444694519,5.0,12.0,0,Jax,Sion,red,6
